ID,score
1,5.0
2,6.0
3,8.0
4,3.0
5,7.0
6,5.0
7,3.0
8,9.0
9,4.0
10,3.0
11,4.0
12,2.0
13,3.0
14,1.0
15,7.0
16,2.0
17,4.0
18,3.0
19,0.0
20,7.0
21,5.0
22,6.0
23,3.0
24,1.0
25,5.0
26,6.0
27,9.0
28,7.0
29,3.0
30,5.0
31,3.0
32,8.0
33,5.0
34,2.0
35,7.0
36,8.0
37,8.0
38,3.0
39,4.0
40,7.0
41,6.0
42,7.0
43,5.0
44,2.0
45,5.0
46,10.0
47,7.0
48,4.0
49,3.0
50,8.0
51,1.0
52,6.0
53,3.0
54,8.0
55,0.0
56,7.0
57,6.0
58,5.0
59,6.0
60,3.0
61,7.0
62,3.0
63,4.0
64,6.0
65,3.0
66,6.0
67,7.0
68,5.0
69,1.0
70,8.0
71,6.0
72,0.0
73,8.0
74,10.0
75,5.0
76,7.0
77,10.0
78,8.0
79,6.0
80,4.0
81,5.0
82,6.0
83,5.0
84,5.0
85,4.0
86,8.0
87,5.0
88,8.0
89,3.0
90,3.0
91,9.0
92,6.0
93,4.0
94,6.0
95,6.0
96,3.0
97,3.0
98,2.0
99,2.0
100,5.0
101,5.0
102,7.0
103,8.0
104,2.0
105,6.0
106,1.0
107,4.0
108,4.0
109,7.0
110,4.0
111,2.0
112,2.0
113,3.0
114,4.0
115,4.0
116,9.0
117,6.0
118,5.0
119,7.0
120,10.0
121,6.0
122,5.0
123,4.0
124,6.0
125,8.0
126,1.0
127,4.0
128,7.0
129,5.0
130,4.0
131,5.0
132,4.0
133,4.0
134,8.0
135,8.0
136,4.0
137,5.0
138,7.0
139,6.0
140,1.0
141,6.0
142,3.0
143,3.0
144,5.0
145,3.0
146,7.0
147,9.0
148,4.0
149,7.0
150,6.0
151,5.0
152,7.0
153,4.0
154,6.0
155,6.0
156,2.0
157,0.0
158,4.0
159,3.0
160,8.0
161,3.0
162,6.0
163,2.0
164,7.0
165,2.0
166,7.0
167,4.0
168,6.0
169,8.0
170,3.0
171,4.0
172,3.0
173,4.0
174,7.0
175,7.0
176,4.0
177,6.0
178,5.0
179,5.0
180,5.0
181,7.0
182,6.0
183,5.0
184,1.0
185,8.0
186,4.0
187,6.0
188,5.0
189,5.0
190,3.0
191,5.0
192,10.0
193,6.0
194,3.0
195,2.0
196,8.0
197,7.0
198,3.0
199,5.0
200,8.0
201,9.0
202,5.0
203,5.0
204,8.0
205,4.0
206,6.0
207,5.0
208,4.0
209,9.0
210,8.0
211,4.0
212,5.0
213,2.0
214,5.0
215,2.0
216,4.0
217,10.0
218,3.0
219,4.0
220,7.0
221,6.0
222,6.0
223,4.0
224,9.0
225,4.0
226,5.0
227,7.0
228,7.0
229,4.0
230,5.0
231,0.0
232,4.0
233,6.0
234,8.0
235,6.0
236,2.0
237,4.0
238,2.0
239,5.0
240,9.0
241,4.0
242,6.0
243,5.0
244,7.0
245,-0.0
246,9.0
247,5.0
248,7.0
249,7.0
250,9.0
251,4.0
252,7.0
253,8.0
254,6.0
255,6.0
256,6.0
257,3.0
258,5.0
259,6.0
260,8.0
261,6.0
262,6.0
263,5.0
264,8.0
265,3.0
266,7.0
267,6.0
268,3.0
269,5.0
270,6.0
271,3.0
272,4.0
273,8.0
274,1.0
275,9.0
276,3.0
277,3.0
278,4.0
279,2.0
280,8.0
281,7.0
282,3.0
283,5.0
284,2.0
285,9.0
286,9.0
287,7.0
288,3.0
289,4.0
290,4.0
291,5.0
292,4.0
293,7.0
294,7.0
295,4.0
296,5.0
297,5.0
298,7.0
299,6.0
300,7.0
301,6.0
302,4.0
303,3.0
304,5.0
305,6.0
306,8.0
307,4.0
308,5.0
309,6.0
310,9.0
311,3.0
312,5.0
313,9.0
314,1.0
315,7.0
316,7.0
317,6.0
318,4.0
319,5.0
320,5.0
321,3.0
322,6.0
323,4.0
324,6.0
325,8.0
326,6.0
327,2.0
328,7.0
329,5.0
330,6.0
331,5.0
332,3.0
333,5.0
334,4.0
335,8.0
336,5.0
337,6.0
338,2.0
339,2.0
340,3.0
341,4.0
342,3.0
343,6.0
344,6.0
345,4.0
346,3.0
347,5.0
348,8.0
349,-0.0
350,2.0
351,5.0
352,5.0
353,8.0
354,5.0
355,7.0
356,5.0
357,8.0
358,-0.0
359,7.0
360,5.0
361,1.0
362,7.0
363,3.0
364,1.0
365,4.0
366,6.0
367,4.0
368,7.0
369,7.0
370,7.0
371,6.0
372,4.0
373,3.0
374,5.0
375,7.0
376,1.0
377,7.0
378,6.0
379,5.0
380,5.0
381,0.0
382,8.0
383,4.0
384,8.0
385,6.0
386,4.0
387,7.0
388,1.0
389,5.0
390,2.0
391,8.0
392,3.0
393,6.0
394,4.0
395,7.0
396,3.0
397,2.0
398,3.0
399,8.0
400,7.0
401,7.0
402,5.0
403,9.0
404,7.0
405,3.0
406,-0.0
407,8.0
408,5.0
409,4.0
410,7.0
411,7.0
412,9.0
413,2.0
414,6.0
415,3.0
416,9.0
417,5.0
418,6.0
419,5.0
420,9.0
421,0.0
422,2.0
423,4.0
424,3.0
425,2.0
426,4.0
427,3.0
428,4.0
429,6.0
430,3.0
431,4.0
432,2.0
433,6.0
434,5.0
435,5.0
436,6.0
437,8.0
438,9.0
439,6.0
440,4.0
441,2.0
442,4.0
443,5.0
444,8.0
445,2.0
446,4.0
447,8.0
448,3.0
449,7.0
450,5.0
451,6.0
452,4.0
453,3.0
454,2.0
455,2.0
456,2.0
457,7.0
458,2.0
459,3.0
460,9.0
461,4.0
462,6.0
463,5.0
464,1.0
465,2.0
466,6.0
467,1.0
468,4.0
469,6.0
470,5.0
471,6.0
472,3.0
473,2.0
474,8.0
475,4.0
476,1.0
477,4.0
478,5.0
479,4.0
480,6.0
481,6.0
482,3.0
483,6.0
484,5.0
485,5.0
486,5.0
487,2.0
488,10.0
489,8.0
490,7.0
491,0.0
492,1.0
493,4.0
494,6.0
495,3.0
496,9.0
497,5.0
498,7.0
499,6.0
500,5.0
501,8.0
502,4.0
503,4.0
504,4.0
505,6.0
506,7.0
507,7.0
508,6.0
509,5.0
510,0.0
511,3.0
512,4.0
513,6.0
514,3.0
515,5.0
516,3.0
517,5.0
518,7.0
519,7.0
520,10.0
521,6.0
522,4.0
523,5.0
524,3.0
525,7.0
526,3.0
527,8.0
528,1.0
529,6.0
530,5.0
531,1.0
532,8.0
533,8.0
534,3.0
535,5.0
536,9.0
537,3.0
538,8.0
539,7.0
540,6.0
541,7.0
542,2.0
543,5.0
544,4.0
545,6.0
546,5.0
547,3.0
548,9.0
549,0.0
550,5.0
551,4.0
552,5.0
553,7.0
554,2.0
555,3.0
556,2.0
557,4.0
558,2.0
559,10.0
560,5.0
561,10.0
562,1.0
563,2.0
564,8.0
565,2.0
566,7.0
567,4.0
568,7.0
569,6.0
570,6.0
571,4.0
572,6.0
573,5.0
574,7.0
575,4.0
576,5.0
577,7.0
578,9.0
579,5.0
580,3.0
581,3.0
582,2.0
583,4.0
584,5.0
585,9.0
586,4.0
587,4.0
588,2.0
589,4.0
590,7.0
591,5.0
592,5.0
593,7.0
594,6.0
595,3.0
596,7.0
597,7.0
598,3.0
599,4.0
600,6.0
601,5.0
602,1.0
603,4.0
604,4.0
605,0.0
606,2.0
607,6.0
608,3.0
609,3.0
610,5.0
611,2.0
612,6.0
613,5.0
