ID,score
1,4.0
2,6.0
3,5.0
4,8.0
5,-0.0
6,4.0
7,7.0
8,2.0
9,1.0
10,3.0
11,6.0
12,3.0
13,3.0
14,6.0
15,8.0
16,6.0
17,7.0
18,7.0
19,2.0
20,5.0
21,10.0
22,1.0
23,5.0
24,5.0
25,2.0
26,6.0
27,1.0
28,7.0
29,6.0
30,5.0
31,6.0
32,6.0
33,5.0
34,1.0
35,5.0
36,9.0
37,0.0
38,2.0
39,6.0
40,3.0
41,4.0
42,7.0
43,7.0
44,3.0
45,10.0
46,4.0
47,4.0
48,4.0
49,2.0
50,2.0
51,6.0
52,0.0
53,3.0
54,5.0
55,2.0
56,5.0
57,5.0
58,8.0
59,0.0
60,8.0
61,7.0
62,2.0
63,5.0
64,1.0
65,1.0
66,2.0
67,2.0
68,4.0
69,4.0
70,0.0
71,9.0
72,1.0
73,6.0
74,4.0
75,3.0
76,8.0
77,3.0
78,9.0
79,7.0
80,1.0
81,7.0
82,8.0
83,6.0
84,6.0
85,4.0
86,3.0
87,9.0
88,8.0
89,0.0
90,5.0
91,7.0
92,9.0
93,1.0
94,7.0
95,2.0
96,6.0
97,3.0
98,6.0
99,2.0
100,9.0
101,4.0
102,4.0
103,4.0
104,5.0
105,3.0
106,4.0
107,10.0
108,1.0
109,5.0
110,5.0
111,3.0
112,6.0
113,1.0
114,5.0
115,2.0
116,10.0
117,7.0
118,8.0
119,5.0
120,5.0
121,7.0
122,3.0
123,1.0
124,7.0
125,9.0
126,4.0
127,4.0
128,7.0
129,6.0
130,1.0
131,4.0
132,3.0
133,8.0
134,5.0
135,7.0
136,4.0
137,7.0
138,8.0
139,8.0
140,5.0
141,3.0
142,6.0
143,9.0
144,4.0
145,1.0
146,8.0
147,2.0
148,6.0
149,5.0
150,5.0
151,8.0
152,5.0
153,3.0
154,6.0
155,3.0
156,7.0
157,1.0
158,4.0
159,7.0
160,0.0
161,2.0
162,1.0
163,4.0
164,6.0
165,4.0
166,7.0
167,1.0
168,6.0
169,7.0
170,1.0
171,8.0
172,7.0
173,9.0
174,5.0
175,5.0
176,1.0
177,2.0
178,9.0
179,2.0
180,4.0
181,3.0
182,2.0
183,5.0
184,7.0
185,2.0
186,4.0
187,7.0
188,2.0
189,3.0
190,2.0
191,3.0
192,2.0
193,-0.0
194,4.0
195,3.0
196,5.0
197,8.0
198,7.0
199,4.0
200,8.0
201,3.0
202,5.0
203,5.0
204,7.0
205,4.0
206,8.0
207,2.0
208,6.0
209,3.0
210,7.0
211,6.0
212,6.0
213,4.0
214,5.0
215,3.0
216,7.0
217,4.0
218,4.0
219,5.0
220,3.0
221,3.0
222,0.0
223,5.0
224,3.0
225,5.0
226,5.0
227,2.0
228,5.0
229,7.0
230,1.0
231,5.0
232,2.0
233,2.0
234,2.0
235,8.0
236,4.0
237,3.0
238,9.0
239,1.0
240,8.0
